date,time,external_temp(℃),internal_temp(℃),cumulative_light(J/cm²),light_amount(W/m²),wind_direction,wind_speed(m/s),leeward_vent_aperture(%),windward_vent_aperture(%)
01-04-2023,0:00:00,8.23,14.51,2267,0.11,98.89,0.35,0,0
01-04-2023,0:05:00,7.85,14.41,2267,0,52.89,0.12,0,0
01-04-2023,0:10:00,7.89,14.31,2267,0,250.05,0.72,0,0
01-04-2023,0:15:00,7.99,14.3,2267,0,220.14,1.33,0,0
01-04-2023,0:20:00,7.82,14.3,2267,0,167.78,1.22,0,0
01-04-2023,0:25:00,7.8,14.21,2267,0,139.83,1.02,0,0
01-04-2023,0:30:00,7.71,14.11,2267,0,128.13,0.91,0,0
01-04-2023,0:35:00,7.61,14.01,2267,0,119.91,0.72,0,0
01-04-2023,0:40:00,7.33,13.91,2267,0,123.43,0.35,0,0
01-04-2023,0:45:00,7.12,13.99,2267,0,173.65,0.39,0,0
01-04-2023,0:50:00,7.1,13.91,2267,0,177.34,0.75,0,0
01-04-2023,0:55:00,7.1,13.9,2267,0,163.7,0.71,0,0
01-04-2023,1:00:00,6.92,13.81,2267,0,162,0.52,0,0
01-04-2023,1:05:00,6.9,13.89,2267,0,138.06,0.77,0,0
01-04-2023,1:10:00,6.81,13.9,2267,0,125.25,0.45,0,0
01-04-2023,1:15:00,6.53,13.81,2267,0,133.75,0.22,0,0
01-04-2023,1:20:00,6.41,13.71,2267,0,106.63,0.11,0,0
01-04-2023,1:25:00,6.22,13.88,2267,0,143.79,0.28,0,0
01-04-2023,1:30:00,5.93,13.9,2267,0,167.62,0.65,0,0
01-04-2023,1:35:00,5.9,13.81,2267,0,138.08,0.52,0,0
01-04-2023,1:40:00,5.99,13.8,2267,0,112.86,0.41,0,0
01-04-2023,1:45:00,5.82,13.89,2267,0,102.96,0.14,0,0
01-04-2023,1:50:00,5.62,13.72,2267,0,100.24,0.1,0,0
01-04-2023,1:55:00,5.51,13.7,2267,0,100,0.01,0,0
01-04-2023,2:00:00,5.41,13.7,2267,0,100,0,0,0
01-04-2023,2:05:00,5.22,13.61,2267,0,100,0,0,0
01-04-2023,2:10:00,4.94,13.6,2267,0,100,0.09,0,0
01-04-2023,2:15:00,4.72,13.51,2267,0,100.88,0.19,0,0
01-04-2023,2:20:00,4.79,13.5,2267,0,121.24,0.46,0,0
01-04-2023,2:25:00,4.89,13.5,2267,0,152.16,0.68,0,0
01-04-2023,2:30:00,4.99,13.5,2267,0,171.84,0.79,0,0
01-04-2023,2:35:00,5,13.5,2267,0,173.12,0.89,0,0
01-04-2023,2:40:00,5,13.68,2267,0,171.24,0.9,0,0
01-04-2023,2:45:00,4.91,13.61,2267,0,172.76,0.64,0,0
01-04-2023,2:50:00,4.81,13.51,2267,0,136.04,0.42,0,0
01-04-2023,2:55:00,4.62,13.59,2267,0,118.68,0.22,0,0
01-04-2023,3:00:00,4.51,13.51,2267,0,148.68,0.64,0,0
01-04-2023,3:05:00,4.59,13.59,2267,0,160.92,1.05,0,0
01-04-2023,3:10:00,4.78,13.51,2267,0,154.08,1.19,0,0
01-04-2023,3:15:00,4.71,13.41,2267,0,147.72,0.94,0,0
01-04-2023,3:20:00,4.61,13.4,2267,0,140.84,0.81,0,0
01-04-2023,3:25:00,4.51,13.49,2267,0,149.68,0.89,0,0
01-04-2023,3:30:00,4.33,13.5,2267,0,173.73,0.99,0,0
01-04-2023,3:35:00,4.21,13.41,2267,0,178.75,0.74,0,0
01-04-2023,3:40:00,4.29,13.49,2267,0,162.41,0.61,0,0
01-04-2023,3:45:00,4.3,13.5,2267,0,156.51,0.86,0,0
01-04-2023,3:50:00,4.21,13.5,2267,0,165.61,1.16,0,0
01-04-2023,3:55:00,4.03,13.5,2267,0,173.11,1.29,0,0
01-04-2023,4:00:00,4.09,13.41,2267,0,174,1.74,0,0
01-04-2023,4:05:00,4.1,13.49,2267,0,188.85,1.71,0,0
01-04-2023,4:10:00,4.1,13.5,2267,0,184.89,1.53,0,0
01-04-2023,4:15:00,4.1,13.41,2267,0,177.01,1.5,0,0
01-04-2023,4:20:00,4.01,13.4,2267,0,175.13,1.76,0,0
01-04-2023,4:25:00,4,13.49,2267,0,181.99,1.54,0,0
01-04-2023,4:30:00,3.91,13.41,2267,0,176.01,1.5,0,0
01-04-2023,4:35:00,3.81,13.31,2267,0,168.89,1.59,0,0
01-04-2023,4:40:00,3.8,13.39,2267,0,164.51,1.51,0,0
01-04-2023,4:45:00,3.71,13.4,2267,0,166.62,1.33,0,0
01-04-2023,4:50:00,3.53,13.49,2267,0,159.14,0.95,0,0
01-04-2023,4:55:00,3.5,13.41,2267,0,156.25,0.99,0,0
01-04-2023,5:00:00,3.33,13.4,2267,0,163.86,0.91,0,0
01-04-2023,5:05:00,3.3,13.49,2267,0,165,1.07,0,0
01-04-2023,5:10:00,3.21,13.76,2267,0,172.86,1.54,0,0
01-04-2023,5:15:00,3.29,13.89,2267,0,164.39,1.43,0,0
01-04-2023,5:20:00,3.21,14.07,2267,0,166.49,1.23,0,0
01-04-2023,5:25:00,3.11,14.1,2267,0,161.76,1.11,0,0
01-04-2023,5:30:00,3.1,14.19,2267,0,161.87,1.27,0,0
01-04-2023,5:35:00,2.93,14.2,2267,0,182.09,0.95,0,0
01-04-2023,5:40:00,2.81,14.29,2267,0,171.9,0.46,0,0
01-04-2023,5:45:00,2.54,14.21,2267,0,184.85,0.14,0,0
01-04-2023,5:50:00,2.59,14.29,2267,0,193.99,0.1,0,0
01-04-2023,5:55:00,2.6,14.3,2267,0,180.15,0.01,0,0
01-04-2023,6:00:00,2.69,14.3,2267,0,185.86,0.26,0,0
01-04-2023,6:05:00,2.7,14.3,2267,0,173.03,0.47,0,0
01-04-2023,6:10:00,2.7,14.39,2267,0,153.53,0.94,0,0
01-04-2023,6:15:00,2.7,14.31,0,1.75,137.9,1.09,0,0
01-04-2023,6:20:00,2.7,14.21,0,2.87,135.13,0.58,0,0
01-04-2023,6:25:00,2.53,14.2,0,5.62,124.52,0.24,0,0
01-04-2023,6:30:00,2.5,14.11,0,11.24,127.37,0.72,0,0
01-04-2023,6:35:00,2.5,14.19,0.87,16.37,127.13,0.8,0,0
01-04-2023,6:40:00,2.41,14.29,1.87,22.24,135.73,0.71,0,0
